video_name,start_time,end_time,event_label
game_1.mp4,71,172,point_loss
game_1.mp4,1768,2028,none
game_1.mp4,2034,2269,serve
game_1.mp4,2285,2373,point_loss
game_1.mp4,1786,2235,serve
game_1.mp4,10200,10440,serve
game_1.mp4,10440,10560,point_loss
game_1.mp4,12000,12240,serve
game_1.mp4,12360,12480,point_win
game_1.mp4,13920,14160,serve
game_1.mp4,14160,15000,point_loss
game_1.mp4,16200,16440,serve
game_1.mp4,16560,16800,point_loss
game_1.mp4,18126,18307,serve
game_1.mp4,18721,18866,point_loss
game_1.mp4,18344,18751,rally
game_1.mp4,22279,22595,serve
game_1.mp4,22617,22712,point_loss
game_1.mp4,24385,24628,serve
game_1.mp4,24701,24848,point_loss
game_1.mp4,27537,27748,serve
game_1.mp4,27903,28058,point_loss
game_1.mp4,29439,29671,serve
game_1.mp4,29662,29858,none
game_1.mp4,29713,29823,point_loss
game_1.mp4,31469,31740,serve
game_1.mp4,36092,36393,serve
game_1.mp4,36399,36585,rally
game_1.mp4,36526,36581,point_win
game_1.mp4,37814,37997,serve
game_1.mp4,37999,38165,rally
game_1.mp4,38171,38254,point_loss
game_1.mp4,41589,41751,serve
game_1.mp4,41845,41907,point_win
game_1.mp4,44063,44230,serve
game_1.mp4,44255,44401,rally
game_1.mp4,44263,44378,none
game_1.mp4,44363,44453,point_loss
game_1.mp4,47007,47146,serve
game_1.mp4,47144,47254,point_win
game_1.mp4,49087,49258,serve
game_1.mp4,49282,49607,rally
game_1.mp4,49587,49652,point_win
game_1.mp4,69134,70192,rally
game_1.mp4,70089,70184,none
game_1.mp4,70193,70270,point_loss
game_1.mp4,71180,72708,rally
game_1.mp4,72727,72806,point_loss
game_1.mp4,69114,69196,serve
game_1.mp4,71163,71232,serve
game_1.mp4,73287,73344,serve
game_1.mp4,73370,73872,rally
game_1.mp4,73963,74057,point_win
game_1.mp4,75194,75266,serve
game_1.mp4,75278,75840,rally
game_1.mp4,75837,75914,point_loss
game_1.mp4,77014,77087,serve
game_1.mp4,77083,77819,rally
game_1.mp4,77926,77991,point_loss
game_1.mp4,79015,79108,serve
game_1.mp4,79127,79306,rally
game_1.mp4,79328,79424,point_loss
